frame,t,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,l_shoulder_x,l_shoulder_y,l_shoulder_c,r_shoulder_x,r_shoulder_y,r_shoulder_c,l_elbow_x,l_elbow_y,l_elbow_c,r_elbow_x,r_elbow_y,r_elbow_c,l_wrist_x,l_wrist_y,l_wrist_c,r_wrist_x,r_wrist_y,r_wrist_c,l_hip_x,l_hip_y,l_hip_c,r_hip_x,r_hip_y,r_hip_c,l_knee_x,l_knee_y,l_knee_c,r_knee_x,r_knee_y,r_knee_c,l_ankle_x,l_ankle_y,l_ankle_c,r_ankle_x,r_ankle_y,r_ankle_c
0,0.0,1285.3,536.1,0.0,1275.7,541.1,0.0,1278.0,537.3,0.0,1256.0,541.9,0.0,1263.3,521.7,0.0,1236.2,515.4,0.998,1271.6,477.5,0.999,1227.2,452.8,0.991,1356.3,469.1,0.991,1162.4,417.0,0.975,1462.3,428.7,0.966,1223.9,350.9,0.999,1249.4,325.4,0.999,1273.6,335.5,0.997,1282.6,310.3,0.997,1316.2,148.5,0.984,1328.4,157.2,0.986
3,0.12,1274.7,555.0,0.0,1266.2,559.3,0.0,1272.8,556.1,0.0,1245.4,558.3,0.0,1266.1,541.6,0.0,1185.7,538.5,0.996,1288.5,510.8,0.998,1050.9,471.3,0.987,1369.7,493.9,0.988,959.3,448.5,0.968,1494.1,475.3,0.957,1184.5,392.3,0.997,1234.9,375.6,0.0,1263.4,351.9,0.991,1301.5,338.9,0.993,1352.5,173.9,0.957,1376.0,179.4,0.965
6,0.24,1277.6,563.1,0.0,1267.7,565.4,0.0,1275.2,566.0,0.0,1247.9,558.9,0.0,1269.8,551.5,0.0,1194.8,546.2,0.0,1289.4,513.1,0.998,1053.1,478.1,0.992,1363.4,501.2,0.989,927.3,452.5,0.979,1492.0,488.7,0.966,1201.6,403.4,0.998,1249.3,383.4,0.0,1273.9,341.6,0.995,1305.6,318.7,0.995,1359.7,143.6,0.974,1387.0,151.5,0.978
9,0.36,1276.3,569.2,0.0,1260.9,578.1,0.0,1276.9,576.7,0.0,1240.5,580.9,0.0,1279.6,559.6,0.0,1200.6,560.0,0.0,1294.4,494.4,0.996,1112.1,468.3,0.967,1357.2,480.8,0.972,1053.8,429.6,0.921,1509.3,523.6,0.91,1214.8,406.0,0.99,1265.2,362.3,0.991,1239.5,315.8,0.976,1282.2,271.5,0.981,1334.6,147.0,0.919,1388.0,154.2,0.937
12,0.48,1194.0,406.2,0.0,1192.6,415.7,0.0,1186.2,397.8,0.0,1179.8,469.5,0.0,1168.3,413.9,0.0,1187.8,511.7,0.997,1140.0,464.2,0.997,1229.1,443.2,0.0,1066.8,465.6,0.985,1252.9,360.3,0.952,1024.0,442.2,0.948,1211.4,513.7,0.999,1210.7,495.2,0.0,1287.4,351.8,0.992,1287.3,389.7,0.991,1415.2,168.0,0.926,1420.2,267.8,0.913
15,0.6,1205.1,565.9,0.0,1202.7,579.0,0.0,1207.0,567.2,0.0,1212.8,597.0,0.0,1227.4,556.1,0.0,1190.9,576.8,0.997,1273.1,493.5,0.993,989.4,458.0,0.991,1267.1,426.3,0.962,845.1,437.3,0.971,1337.7,483.5,0.917,1293.0,397.1,0.999,1333.2,346.3,0.998,1312.0,311.7,0.997,1330.6,270.5,0.996,1405.6,147.5,0.987,1404.5,145.4,0.984
18,0.72,1184.7,563.3,0.0,1170.1,574.3,0.0,1188.2,577.4,0.0,1171.3,586.4,0.0,1219.7,581.8,0.0,1152.0,553.7,0.996,1288.8,513.7,0.997,958.5,418.2,0.988,1344.5,477.3,0.977,865.8,422.0,0.973,1511.4,528.8,0.944,1244.9,374.1,0.994,1306.4,346.8,0.994,1236.5,333.0,0.989,1283.1,305.4,0.987,1369.1,139.5,0.955,1408.1,144.2,0.955
21,0.84,1168.6,562.2,0.0,1159.8,569.6,0.0,1178.1,578.4,0.0,1171.9,568.0,0.0,1224.1,586.3,0.0,1140.1,537.0,0.991,1307.9,529.6,0.998,964.8,460.5,0.97,1433.9,523.7,0.991,825.1,450.9,0.952,1536.0,511.2,0.974,1146.7,326.7,0.989,1224.5,319.0,0.994,1134.9,307.1,0.977,1203.8,299.0,0.987,1189.9,147.9,0.95,1238.8,166.9,0.97
24,0.96,1170.0,563.1,0.0,1166.3,571.0,0.0,1171.6,574.1,0.0,1192.0,585.2,0.0,1213.0,579.1,0.0,1202.7,545.1,0.991,1288.3,515.8,0.996,1080.9,466.3,0.947,1351.6,469.5,0.971,975.1,444.5,0.879,1466.6,487.9,0.91,1254.1,340.8,0.984,1298.9,323.0,0.989,1235.1,282.9,0.967,1263.2,268.5,0.978,1335.3,130.3,0.912,1356.2,126.6,0.936
27,1.08,1200.4,576.8,0.0,1189.0,579.6,0.0,1199.3,587.8,0.0,1191.2,576.6,0.0,1216.5,590.7,0.0,1202.2,533.6,0.997,1255.5,527.7,0.999,1199.5,492.4,0.0,1343.8,493.3,0.992,1257.5,491.7,0.954,1517.9,491.8,0.965,1214.0,341.5,0.997,1245.3,339.7,0.998,1239.2,310.6,0.986,1262.9,329.8,0.989,1296.6,159.1,0.942,1328.9,193.6,0.957
30,1.2,1171.4,561.3,0.0,1162.6,568.6,0.0,1181.2,577.3,0.0,1172.9,569.8,0.0,1226.8,585.1,0.0,1140.0,547.6,0.992,1304.5,522.7,0.999,952.4,495.2,0.977,1407.9,493.0,0.994,811.7,508.5,0.96,1501.3,494.7,0.981,1161.0,349.4,0.995,1234.7,335.9,0.998,1186.9,326.9,0.987,1252.4,331.5,0.993,1249.9,157.9,0.958,1299.0,195.6,0.975
33,1.32,1185.2,574.4,0.0,1174.3,576.1,0.0,1185.9,586.7,0.0,1184.9,572.2,0.0,1214.4,587.6,0.0,1203.2,533.7,0.996,1274.0,515.6,0.999,1219.4,487.8,0.976,1403.0,468.0,0.991,1232.4,498.7,0.932,1501.1,462.5,0.964,1228.0,343.6,0.993,1264.1,333.1,0.996,1246.5,322.7,0.975,1275.4,326.6,0.985,1295.8,170.1,0.91,1323.3,203.1,0.943
36,1.44,1172.3,571.1,0.0,1162.9,573.9,0.0,1175.4,582.7,0.0,1173.7,569.1,0.0,1208.4,582.8,0.0,1158.8,535.4,0.995,1276.4,517.8,0.998,1039.5,506.5,0.983,1388.2,471.6,0.992,901.5,507.6,0.963,1495.6,448.0,0.973,1174.4,339.0,0.997,1229.8,333.5,0.998,1211.4,329.7,0.991,1256.8,348.3,0.994,1296.3,190.3,0.963,1336.7,234.2,0.975
